index     timeStep    vehicleName    lane        pos        speed       TLid        yellowOrRed      
49         9.80       Veh1            NC_3         35.21      13.89      C               1               
49         9.80       Veh9            NC_3         10.53      7.80       C               1               
49         9.80       Veh5            WC_3         35.21      13.89      C               0               
49         9.80       Veh10           WC_3         10.53      7.80       C               0               

50         9.90       Veh1            NC_3         36.60      13.89      C               1               
50         9.90       Veh9            NC_3         11.34      8.10       C               1               
50         9.90       Veh5            WC_3         36.60      13.89      C               0               
50         9.90       Veh10           WC_3         11.34      8.10       C               0               

51         10.00      Veh1            NC_3         37.99      13.89      C               1               
51         10.00      Veh9            NC_3         12.18      8.40       C               1               
51         10.00      Veh2            NC_3         0.00       0.00       C               0               
51         10.00      Veh5            WC_3         37.99      13.89      C               0               
51         10.00      Veh10           WC_3         12.18      8.40       C               0               
51         10.00      Veh6            WC_3         0.00       0.00       C               0               

52         10.10      Veh1            NC_3         39.38      13.89      C               1               
52         10.10      Veh9            NC_3         13.05      8.70       C               1               
52         10.10      Veh2            NC_3         0.03       0.30       C               1               
52         10.10      Veh5            WC_3         39.38      13.89      C               0               
52         10.10      Veh10           WC_3         13.05      8.70       C               0               
52         10.10      Veh6            WC_3         0.03       0.30       C               0               

53         10.20      Veh1            NC_3         40.76      13.89      C               1               
53         10.20      Veh9            NC_3         13.95      9.00       C               1               
53         10.20      Veh2            NC_3         0.09       0.60       C               1               
53         10.20      Veh5            WC_3         40.76      13.89      C               0               
53         10.20      Veh10           WC_3         13.95      9.00       C               0               
53         10.20      Veh6            WC_3         0.09       0.60       C               0               

54         10.30      Veh1            NC_3         42.15      13.89      C               1               
54         10.30      Veh9            NC_3         14.88      9.30       C               1               
54         10.30      Veh2            NC_3         0.18       0.90       C               1               
54         10.30      Veh5            WC_3         42.15      13.89      C               0               
54         10.30      Veh10           WC_3         14.88      9.30       C               0               
54         10.30      Veh6            WC_3         0.18       0.90       C               0               

55         10.40      Veh1            NC_3         43.54      13.89      C               1               
55         10.40      Veh9            NC_3         15.84      9.60       C               1               
55         10.40      Veh2            NC_3         0.30       1.20       C               1               
55         10.40      Veh5            WC_3         43.54      13.89      C               0               
55         10.40      Veh10           WC_3         15.84      9.60       C               0               
55         10.40      Veh6            WC_3         0.30       1.20       C               0               

56         10.50      Veh1            NC_3         44.93      13.89      C               1               
56         10.50      Veh9            NC_3         16.83      9.90       C               1               
56         10.50      Veh2            NC_3         0.45       1.50       C               1               
56         10.50      Veh5            WC_3         44.93      13.89      C               0               
56         10.50      Veh10           WC_3         16.83      9.90       C               0               
56         10.50      Veh6            WC_3         0.45       1.50       C               0               

57         10.60      Veh1            NC_3         46.32      13.89      C               1               
57         10.60      Veh9            NC_3         17.85      10.20      C               1               
57         10.60      Veh2            NC_3         0.63       1.80       C               1               
57         10.60      Veh5            WC_3         46.32      13.89      C               0               
57         10.60      Veh10           WC_3         17.85      10.20      C               0               
57         10.60      Veh6            WC_3         0.63       1.80       C               0               

58         10.70      Veh1            NC_3         47.71      13.89      C               1               
58         10.70      Veh9            NC_3         18.90      10.50      C               1               
58         10.70      Veh2            NC_3         0.84       2.10       C               1               
58         10.70      Veh5            WC_3         47.71      13.89      C               0               
58         10.70      Veh10           WC_3         18.90      10.50      C               0               
58         10.70      Veh6            WC_3         0.84       2.10       C               0               

59         10.80      Veh1            NC_3         49.10      13.89      C               1               
59         10.80      Veh9            NC_3         19.98      10.80      C               1               
59         10.80      Veh2            NC_3         1.08       2.40       C               1               
59         10.80      Veh5            WC_3         49.10      13.89      C               0               
59         10.80      Veh10           WC_3         19.98      10.80      C               0               
59         10.80      Veh6            WC_3         1.08       2.40       C               0               

60         10.90      Veh1            NC_3         50.49      13.89      C               1               
60         10.90      Veh9            NC_3         21.09      11.10      C               1               
60         10.90      Veh2            NC_3         1.35       2.70       C               1               
60         10.90      Veh5            WC_3         50.49      13.89      C               0               
60         10.90      Veh10           WC_3         21.09      11.10      C               0               
60         10.90      Veh6            WC_3         1.35       2.70       C               0               

61         11.00      Veh1            NC_3         51.88      13.89      C               1               
61         11.00      Veh9            NC_3         22.23      11.40      C               1               
61         11.00      Veh2            NC_3         1.65       3.00       C               1               
61         11.00      Veh5            WC_3         51.88      13.89      C               0               
61         11.00      Veh10           WC_3         22.23      11.40      C               0               
61         11.00      Veh6            WC_3         1.65       3.00       C               0               

62         11.10      Veh1            NC_3         53.27      13.89      C               1               
62         11.10      Veh9            NC_3         23.40      11.70      C               1               
62         11.10      Veh2            NC_3         1.98       3.30       C               1               
62         11.10      Veh5            WC_3         53.27      13.89      C               0               
62         11.10      Veh10           WC_3         23.40      11.70      C               0               
62         11.10      Veh6            WC_3         1.98       3.30       C               0               

63         11.20      Veh1            NC_3         54.65      13.89      C               1               
63         11.20      Veh9            NC_3         24.60      12.00      C               1               
63         11.20      Veh2            NC_3         2.34       3.60       C               1               
63         11.20      Veh5            WC_3         54.65      13.89      C               0               
63         11.20      Veh10           WC_3         24.60      12.00      C               0               
63         11.20      Veh6            WC_3         2.34       3.60       C               0               

64         11.30      Veh1            NC_3         56.04      13.89      C               1               
64         11.30      Veh9            NC_3         25.83      12.30      C               1               
64         11.30      Veh2            NC_3         2.73       3.90       C               1               
64         11.30      Veh5            WC_3         56.04      13.89      C               0               
