index     timeStep    vehicleName    vehicleType      lane        pos        speed       accel       CFMode              timeGapSetting      SpaceGap  timeGap         TLid             yellowOrRed      
30         35.00      v2              TypeManual      18to8_0      241.60     11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
30         35.00      v3              TypeManual      20to19_1     259.56     17.88      0.00       Undefined           1.64                 -1.00      -1.00            19                0                 
30         35.00      v5              TypeManual      25to15_0     40.36      11.18      0.00       Undefined           1.64                 -1.00      -1.00            15                0                 
30         35.00      v1              TypeManual      2to12_0      308.68     11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 

31         36.00      v6              TypeManual      10to20_0     0.00       0.00       0.00       Undefined           1.64                 -1.00      -1.00            20                0                 
31         36.00      v4              TypeManual      15to25_0     118.62     11.18      0.00       Undefined           1.64                 -1.00      -1.00            25                0                 
31         36.00      v2              TypeManual      18to8_0      252.78     11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
31         36.00      v3              TypeManual      20to19_1     277.44     17.88      0.00       Undefined           1.64                 -1.00      -1.00            19                1                 
31         36.00      v5              TypeManual      25to15_0     51.54      11.18      0.00       Undefined           1.64                 -1.00      -1.00            15                0                 
31         36.00      v1              TypeManual      2to12_0      319.86     11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 

32         37.00      v6              TypeManual      10to20_0     3.00       3.00       3.00       Undefined           1.64                 -1.00      -1.00            20                0                 
32         37.00      v4              TypeManual      15to25_0     129.80     11.18      0.00       Undefined           1.64                 -1.00      -1.00            25                0                 
32         37.00      v2              TypeManual      18to8_1      263.96     11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 0                 
32         37.00      v3              TypeManual      20to19_1     295.32     17.88      0.00       Undefined           1.64                 -1.00      -1.00            19                1                 
32         37.00      v5              TypeManual      25to15_0     62.72      11.18      0.00       Undefined           1.64                 -1.00      -1.00            15                0                 
32         37.00      v1              TypeManual      2to12_0      331.04     11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 

33         38.00      v6              TypeManual      10to20_0     9.00       6.00       3.00       Undefined           1.64                 -1.00      -1.00            20                0                 
33         38.00      v4              TypeManual      15to25_0     140.98     11.18      0.00       Undefined           1.64                 -1.00      -1.00            25                0                 
33         38.00      v2              TypeManual      18to8_1      275.14     11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 1                 
33         38.00      v3              TypeManual      20to19_1     313.20     17.88      0.00       Undefined           1.64                 -1.00      -1.00            19                1                 
33         38.00      v5              TypeManual      25to15_0     73.90      11.18      0.00       Undefined           1.64                 -1.00      -1.00            15                0                 
33         38.00      v1              TypeManual      2to12_0      342.22     11.18      0.00       Undefined           1.64                 -1.00      -1.00            12                1                 

34         39.00      v6              TypeManual      10to20_0     18.00      9.00       3.00       Undefined           1.64                 -1.00      -1.00            20                0                 
34         39.00      v4              TypeManual      15to25_0     152.16     11.18      0.00       Undefined           1.64                 -1.00      -1.00            25                0                 
34         39.00      v2              TypeManual      18to8_1      286.32     11.18      0.00       Undefined           1.64                 -1.00      -1.00            8                 1                 
