index     vehicle   timeStep    speed     accel       pos         gap       timeGap   
100        CACC4      10.90      0.07       0.64       5.11       4.07       62.01      
101        CACC1      11.00      14.00      -5.00      139.80     -1.00      -1.00      
101        CACC2      11.00      12.00      2.00       41.70      93.10      7.76       
101        CACC3      11.00      6.12       2.00       14.79      21.91      3.58       
101        CACC4      11.00      0.23       1.65       5.13       4.66       20.18      
102        CACC1      11.10      13.50      -5.00      141.15     -1.00      -1.00      
102        CACC2      11.10      12.20      2.00       42.92      93.23      7.64       
102        CACC3      11.10      6.32       2.00       15.42      22.50      3.56       
102        CACC4      11.10      0.43       2.00       5.17       5.25       12.18      
103        CACC1      11.20      13.00      -5.00      142.45     -1.00      -1.00      
103        CACC2      11.20      12.40      2.00       44.16      93.29      7.52       
103        CACC3      11.20      6.52       2.00       16.07      23.09      3.54       
103        CACC4      11.20      0.63       2.00       5.24       5.84       9.25       
104        CACC1      11.30      12.50      -5.00      143.70     -1.00      -1.00      
104        CACC2      11.30      12.60      2.00       45.42      93.28      7.40       
104        CACC3      11.30      6.72       2.00       16.75      23.67      3.52       
104        CACC4      11.30      0.83       2.00       5.32       6.43       7.74       
105        CACC1      11.40      12.00      -5.00      144.90     -1.00      -1.00      
105        CACC2      11.40      12.80      2.00       46.70      93.20      7.28       
105        CACC3      11.40      6.92       2.00       17.44      24.26      3.50       
105        CACC4      11.40      1.03       2.00       5.42       7.02       6.81       
106        CACC1      11.50      11.50      -5.00      146.05     -1.00      -1.00      
106        CACC2      11.50      13.00      2.00       48.00      93.05      7.16       
106        CACC3      11.50      7.12       2.00       18.15      24.85      3.49       
106        CACC4      11.50      1.23       2.00       5.55       7.61       6.18       
107        CACC1      11.60      11.00      -5.00      147.15     -1.00      -1.00      
107        CACC2      11.60      13.20      2.00       49.32      92.83      7.03       
107        CACC3      11.60      7.32       2.00       18.88      25.44      3.47       
107        CACC4      11.60      1.43       2.00       5.69       8.20       5.73       
108        CACC1      11.70      10.50      -5.00      148.20     -1.00      -1.00      
108        CACC2      11.70      13.40      2.00       50.66      92.54      6.91       
108        CACC3      11.70      7.52       2.00       19.64      26.02      3.46       
108        CACC4      11.70      1.63       2.00       5.85       8.79       5.39       
109        CACC1      11.80      10.00      -5.00      149.20     -1.00      -1.00      
109        CACC2      11.80      13.60      2.00       52.02      92.18      6.78       
109        CACC3      11.80      7.72       2.00       20.41      26.61      3.44       
109        CACC4      11.80      1.83       2.00       6.03       9.37       5.12       
110        CACC1      11.90      9.50       -5.00      150.15     -1.00      -1.00      
110        CACC2      11.90      13.80      2.00       53.40      91.75      6.65       
110        CACC3      11.90      7.92       2.00       21.20      27.20      3.43       
110        CACC4      11.90      2.03       2.00       6.24       9.96       4.91       
111        CACC1      12.00      9.00       -5.00      151.05     -1.00      -1.00      
111        CACC2      12.00      14.00      2.00       54.80      91.25      6.52       
111        CACC3      12.00      8.12       2.00       22.01      27.79      3.42       
111        CACC4      12.00      2.23       2.00       6.46       10.55      4.73       
112        CACC1      12.10      8.50       -5.00      151.90     -1.00      -1.00      
112        CACC2      12.10      14.20      2.00       56.22      90.68      6.39       
112        CACC3      12.10      8.32       2.00       22.85      28.37      3.41       
112        CACC4      12.10      2.43       2.00       6.70       11.14      4.58       
113        CACC1      12.20      8.00       -5.00      152.70     -1.00      -1.00      
113        CACC2      12.20      14.40      2.00       57.66      90.04      6.25       
113        CACC3      12.20      8.52       2.00       23.70      28.96      3.40       
113        CACC4      12.20      2.63       2.00       6.97       11.73      4.46       
114        CACC1      12.30      7.50       -5.00      153.45     -1.00      -1.00      
114        CACC2      12.30      14.60      2.00       59.12      89.33      6.12       
114        CACC3      12.30      8.72       2.00       24.57      29.55      3.39       
114        CACC4      12.30      2.83       2.00       7.25       12.32      4.35       
115        CACC1      12.40      7.00       -5.00      154.15     -1.00      -1.00      
115        CACC2      12.40      14.80      2.00       60.60      88.55      5.98       
115        CACC3      12.40      8.92       2.00       25.46      30.14      3.38       
115        CACC4      12.40      3.03       2.00       7.55       12.91      4.26       
116        CACC1      12.50      6.50       -5.00      154.80     -1.00      -1.00      
116        CACC2      12.50      15.00      2.00       62.10      87.70      5.85       
116        CACC3      12.50      9.12       2.00       26.38      30.72      3.37       
116        CACC4      12.50      3.23       2.00       7.88       13.50      4.18       
117        CACC1      12.60      6.00       -5.00      155.40     -1.00      -1.00      
117        CACC2      12.60      15.20      2.00       63.62      86.78      5.71       
117        CACC3      12.60      9.32       2.00       27.31      31.31      3.36       
117        CACC4      12.60      3.43       2.00       8.22       14.09      4.11       
118        CACC1      12.70      5.50       -5.00      155.95     -1.00      -1.00      
118        CACC2      12.70      15.40      2.00       65.16      85.79      5.57       
118        CACC3      12.70      9.52       2.00       28.26      31.90      3.35       
118        CACC4      12.70      3.63       2.00       8.58       14.68      4.04       
119        CACC1      12.80      5.00       -5.00      156.45     -1.00      -1.00      
119        CACC2      12.80      15.60      2.00       66.72      84.73      5.43       
119        CACC3      12.80      9.72       2.00       29.23      32.49      3.34       
119        CACC4      12.80      3.83       2.00       8.97       15.27      3.99       
120        CACC1      12.90      4.50       -5.00      156.90     -1.00      -1.00      
120        CACC2      12.90      15.80      2.00       68.30      83.60      5.29       
120        CACC3      12.90      9.92       2.00       30.23      33.07      3.33       
120        CACC4      12.90      4.03       2.00       9.37       15.86      3.93       
121        CACC1      13.00      4.00       -5.00      157.30     -1.00      -1.00      
121        CACC2      13.00      16.00      2.00       69.90      82.40      5.15       
121        CACC3      13.00      10.12      2.00       31.24      33.66      3.32       
121        CACC4      13.00      4.23       2.00       9.79       16.45      3.89       
122        CACC1      13.10      3.50       -5.00      157.65     -1.00      -1.00      
122        CACC2      13.10      16.20      2.00       71.52      81.13      5.01       
122        CACC3      13.10      10.32      2.00       32.27      34.25      3.32       
122        CACC4      13.10      4.43       2.00       10.23      17.04      3.84       
123        CACC1      13.20      3.00       -5.00      157.95     -1.00      -1.00      
123        CACC2      13.20      16.40      2.00       73.16      79.79      4.87       
123        CACC3      13.20      10.52      2.00       33.32      34.84      3.31       
123        CACC4      13.20      4.63       2.00       10.70      17.63      3.81       
124        CACC1      13.30      2.50       -5.00      158.20     -1.00      -1.00      
124        CACC2      13.30      16.60      2.00       74.82      78.38      4.72       
124        CACC3      13.30      10.72      2.00       34.40      35.42      3.30       
124        CACC4      13.30      4.83       2.00       11.18      18.22      3.77       
125        CACC1      13.40      2.00       -5.00      158.40     -1.00      -1.00      
125        CACC2      13.40      16.80      2.00       76.50      76.90      4.58       
125        CACC3      13.40      10.92      2.00       35.49      36.01      3.30       
125        CACC4      13.40      5.03       2.00       11.68      18.80      3.74       
126        CACC1      13.50      1.50       -5.00      158.55     -1.00      -1.00      
126        CACC2      13.50      17.00      2.00       78.20      75.35      4.43       
126        CACC3      13.50      11.12      2.00       36.60      36.60      3.29       
126        CACC4      13.50      5.23       2.00       12.21      19.39      3.71       
126        CACC5      13.50      0.00       0.00       5.10       2.11       -1.00      
127        CACC1      13.60      1.00       -5.00      158.65     -1.00      -1.00      
127        CACC2      13.60      17.20      2.00       79.92      73.73      4.29       
127        CACC3      13.60      11.32      2.00       37.73      37.19      3.28       
127        CACC4      13.60      5.43       2.00       12.75      19.98      3.68       
127        CACC5      13.60      0.00       0.00       5.10       2.65       -1.00      
128        CACC1      13.70      0.50       -5.00      158.70     -1.00      -1.00      
128        CACC2      13.70      17.40      2.00       81.66      72.04      4.14       
128        CACC3      13.70      11.52      2.00       38.89      37.77      3.28       
128        CACC4      13.70      5.63       2.00       13.31      20.57      3.65       
128        CACC5      13.70      0.00       0.00       5.10       3.21       -1.00      
129        CACC1      13.80      0.00       -5.00      158.70     -1.00      -1.00      
129        CACC2      13.80      17.60      2.00       83.42      70.28      3.99       
129        CACC3      13.80      11.72      2.00       40.06      38.36      3.27       
129        CACC4      13.80      5.83       2.00       13.90      21.16      3.63       
129        CACC5      13.80      0.03       0.34       5.10       3.79       111.77     
130        CACC1      13.90      0.00       -0.00      158.70     -1.00      -1.00      
130        CACC2      13.90      17.80      2.00       85.20      68.50      3.85       
130        CACC3      13.90      11.92      2.00       41.25      38.95      3.27       
130        CACC4      13.90      6.03       2.00       14.50      21.75      3.61       
130        CACC5      13.90      0.15       1.17       5.12       4.38       29.00      
131        CACC1      14.00      0.00       0.00       158.70     -1.00      -1.00      
131        CACC2      14.00      18.00      2.00       87.00      66.70      3.71       
131        CACC3      14.00      12.12      2.00       42.46      39.54      3.26       
131        CACC4      14.00      6.23       2.00       15.12      22.34      3.59       
