timeStep    sender         receiver         type                     sendingPlnID        recPlnID            
28.63      CACC1           multicast         CHANGE_Tg                      CACC1              CACC1               
28.63      CACC1           -                 state_platoonLeader            -                  -                   

28.71      CACC10          -                 state_sendMergeReq             -                  -                   
28.71      CACC10          CACC1             MERGE_REQ                      CACC10             CACC1               
28.71      CACC10          -                 state_waitForMergeReply        -                  -                   

28.71      CACC1           -                 state_sendMergeAccept          -                  -                   
28.71      CACC1           CACC10            MERGE_ACCEPT                   CACC1              CACC10              
28.71      CACC1           -                 state_waitForMergeDone         -                  -                   

28.71      CACC10          -                 state_mergeAccepted            -                  -                   
28.71      CACC10          -                 state_waitForCatchup           -                  -                   

33.21      CACC10          -                 state_sendMergeDone            -                  -                   
33.21      CACC10          CACC1             MERGE_DONE                     CACC1              CACC1               
33.21      CACC10          -                 state_platoonFollower          -                  -                   

33.21      CACC1           -                 state_mergeDone                -                  -                   
33.21      CACC1           multicast         CHANGE_Tg                      CACC1              CACC1               
33.21      CACC1           -                 state_platoonLeader            -                  -                   

73.00      CACC1           -                 state_sendSplitReq             -                  -                   
73.00      CACC1           CACC10            SPLIT_REQ                      CACC1              CACC1               
73.00      CACC1           -                 state_waitForSplitReply        -                  -                   

73.00      CACC10          CACC1             SPLIT_ACCEPT                   CACC1              CACC1               
73.00      CACC10          -                 state_waitForCHANGEPL          -                  -                   

73.00      CACC1           -                 state_makeItFreeAgent          -                  -                   
73.00      CACC1           CACC10            CHANGE_PL                      CACC1              CACC1               
73.00      CACC1           -                 state_waitForAck               -                  -                   

73.00      CACC10          -                 state_sendingACK               -                  -                   
73.00      CACC10          CACC1             ACK                            CACC10             CACC10              
73.00      CACC10          -                 state_waitForSplitDone         -                  -                   

73.00      CACC1           -                 state_splitDone                -                  -                   
73.00      CACC1           CACC10            SPLIT_DONE                     CACC1              CACC1               
73.00      CACC1           -                 state_platoonLeader            -                  -                   

73.00      CACC10          -                 state_waitForGap               -                  -                   

83.00      CACC10          -                 state_platoonLeader            -                  -                   
83.00      CACC10          CACC1             GAP_CREATED                    CACC10             CACC1               

118.01     CACC10          -                 state_sendMergeReq             -                  -                   
118.01     CACC10          CACC1             MERGE_REQ                      CACC10             CACC1               
118.01     CACC10          -                 state_waitForMergeReply        -                  -                   

118.01     CACC1           -                 state_sendMergeAccept          -                  -                   
118.01     CACC1           CACC10            MERGE_ACCEPT                   CACC1              CACC10              
118.01     CACC1           -                 state_waitForMergeDone         -                  -                   

118.01     CACC10          -                 state_mergeAccepted            -                  -                   
118.01     CACC10          -                 state_waitForCatchup           -                  -                   

123.01     CACC1           -                 state_sendMergeAccept          -                  -                   
123.01     CACC1           CACC10            MERGE_ACCEPT                   CACC1              CACC10              
123.01     CACC1           -                 state_waitForMergeDone         -                  -                   

128.01     CACC1           -                 state_sendMergeAccept          -                  -                   
128.01     CACC1           CACC10            MERGE_ACCEPT                   CACC1              CACC10              
128.01     CACC1           -                 state_waitForMergeDone         -                  -                   

131.01     CACC10          -                 state_sendMergeDone            -                  -                   
131.01     CACC10          CACC1             MERGE_DONE                     CACC1              CACC1               
131.01     CACC10          -                 state_platoonFollower          -                  -                   

131.01     CACC1           -                 state_mergeDone                -                  -                   
131.01     CACC1           multicast         CHANGE_Tg                      CACC1              CACC1               
131.01     CACC1           -                 state_platoonLeader            -                  -                   

163.00     CACC1           -                 state_sendSplitReq             -                  -                   
163.00     CACC1           CACC9             SPLIT_REQ                      CACC1              CACC1               
163.00     CACC1           -                 state_waitForSplitReply        -                  -                   

163.00     CACC9           CACC1             SPLIT_ACCEPT                   CACC1              CACC1               
163.00     CACC9           -                 state_waitForCHANGEPL          -                  -                   

163.00     CACC1           -                 state_makeItFreeAgent          -                  -                   
163.00     CACC1           CACC9             CHANGE_PL                      CACC1              CACC1               
163.00     CACC1           -                 state_waitForAck               -                  -                   

163.00     CACC9           -                 state_sendingACK               -                  -                   
163.00     CACC9           CACC1             ACK                            CACC9              CACC9               
163.00     CACC9           -                 state_waitForSplitDone         -                  -                   

163.01     CACC1           -                 state_changePL                 -                  -                   
163.01     CACC1           CACC10            CHANGE_PL                      CACC1              CACC1               
163.01     CACC1           -                 state_waitForAllAcks2          -                  -                   

163.01     CACC10          CACC1             ACK                            CACC1              CACC1               

163.01     CACC1           -                 state_splitDone                -                  -                   
163.01     CACC1           CACC9             SPLIT_DONE                     CACC1              CACC1               
163.01     CACC1           -                 state_platoonLeader            -                  -                   

163.01     CACC9           -                 state_waitForGap               -                  -                   

173.01     CACC9           -                 state_platoonLeader            -                  -                   
173.01     CACC9           CACC1             GAP_CREATED                    CACC9              CACC1               

208.03     CACC9           -                 state_sendMergeReq             -                  -                   
208.03     CACC9           CACC1             MERGE_REQ                      CACC9              CACC1               
208.03     CACC9           -                 state_waitForMergeReply        -                  -                   

208.03     CACC1           -                 state_sendMergeAccept          -                  -                   
208.03     CACC1           CACC9             MERGE_ACCEPT                   CACC1              CACC9               
208.03     CACC1           -                 state_waitForMergeDone         -                  -                   

208.03     CACC9           -                 state_mergeAccepted            -                  -                   
208.03     CACC9           -                 state_waitForCatchup           -                  -                   

213.03     CACC1           -                 state_sendMergeAccept          -                  -                   
213.03     CACC1           CACC9             MERGE_ACCEPT                   CACC1              CACC9               
213.03     CACC1           -                 state_waitForMergeDone         -                  -                   

218.03     CACC1           -                 state_sendMergeAccept          -                  -                   
218.03     CACC1           CACC9             MERGE_ACCEPT                   CACC1              CACC9               
218.03     CACC1           -                 state_waitForMergeDone         -                  -                   

221.03     CACC9           -                 state_notifyFollowers          -                  -                   
221.03     CACC9           multicast         CHANGE_PL                      CACC9              CACC1               
221.03     CACC9           -                 state_state_waitForAllAcks     -                  -                   

221.03     CACC10          CACC9             ACK                            CACC9              CACC9               

221.03     CACC9           -                 state_sendMergeDone            -                  -                   
221.03     CACC9           CACC1             MERGE_DONE                     CACC1              CACC1               
221.03     CACC9           -                 state_platoonFollower          -                  -                   

221.03     CACC1           -                 state_mergeDone                -                  -                   
221.03     CACC1           multicast         CHANGE_Tg                      CACC1              CACC1               
221.03     CACC1           -                 state_platoonLeader            -                  -                   

253.00     CACC1           -                 state_sendSplitReq             -                  -                   
253.00     CACC1           CACC8             SPLIT_REQ                      CACC1              CACC1               
253.00     CACC1           -                 state_waitForSplitReply        -                  -                   

253.00     CACC8           CACC1             SPLIT_ACCEPT                   CACC1              CACC1               
253.00     CACC8           -                 state_waitForCHANGEPL          -                  -                   

253.00     CACC1           -                 state_makeItFreeAgent          -                  -                   
253.00     CACC1           CACC8             CHANGE_PL                      CACC1              CACC1               
253.00     CACC1           -                 state_waitForAck               -                  -                   

253.00     CACC8           -                 state_sendingACK               -                  -                   
253.00     CACC8           CACC1             ACK                            CACC8              CACC8               
253.00     CACC8           -                 state_waitForSplitDone         -                  -                   

253.01     CACC1           -                 state_changePL                 -                  -                   
253.01     CACC1           CACC9             CHANGE_PL                      CACC1              CACC1               
253.01     CACC1           CACC10            CHANGE_PL                      CACC1              CACC1               
253.01     CACC1           -                 state_waitForAllAcks2          -                  -                   

253.01     CACC9           CACC1             ACK                            CACC1              CACC1               

253.01     CACC10          CACC1             ACK                            CACC1              CACC1               

253.01     CACC1           -                 state_splitDone                -                  -                   
253.01     CACC1           CACC8             SPLIT_DONE                     CACC1              CACC1               
253.01     CACC1           -                 state_platoonLeader            -                  -                   

253.01     CACC8           -                 state_waitForGap               -                  -                   

263.01     CACC8           -                 state_platoonLeader            -                  -                   
263.01     CACC8           CACC1             GAP_CREATED                    CACC8              CACC1               

278.01     CACC8           -                 state_sendMergeReq             -                  -                   
278.01     CACC8           CACC1             MERGE_REQ                      CACC8              CACC1               
278.01     CACC8           -                 state_waitForMergeReply        -                  -                   

278.02     CACC1           -                 state_sendMergeAccept          -                  -                   
278.02     CACC1           CACC8             MERGE_ACCEPT                   CACC1              CACC8               
278.02     CACC1           -                 state_waitForMergeDone         -                  -                   

278.02     CACC8           -                 state_mergeAccepted            -                  -                   
278.02     CACC8           -                 state_waitForCatchup           -                  -                   

283.02     CACC1           -                 state_sendMergeAccept          -                  -                   
283.02     CACC1           CACC8             MERGE_ACCEPT                   CACC1              CACC8               
283.02     CACC1           -                 state_waitForMergeDone         -                  -                   

288.02     CACC1           -                 state_sendMergeAccept          -                  -                   
288.02     CACC1           CACC8             MERGE_ACCEPT                   CACC1              CACC8               
288.02     CACC1           -                 state_waitForMergeDone         -                  -                   

