index     timeStep    vehicleName    vehicleType      lane        pos        speed       accel       CFMode              gap       timeGap   
83         9.90       CACC3           TypeCACC        1to2_0       14.00      8.80       3.00       SpeedControl        -1.00      -1.00      
83         9.90       CACC4           TypeCACC        1to2_0       0.90       1.80       2.00       SpeedControl        8.10       4.50       
83         9.90       CACC1           TypeCACC@CACC1  1to2_1       49.06      5.00       0.00       Undefined           -1.00      -1.00      
83         9.90       CACC2           TypeCACC@CACC2  1to2_1       37.11      7.88       -3.00      GapControl          6.95       0.88       

84         10.00      CACC3           TypeCACC        1to2_0       14.91      9.10       3.00       SpeedControl        -1.00      -1.00      
84         10.00      CACC4           TypeCACC        1to2_0       1.10       2.00       2.00       SpeedControl        8.81       4.41       
84         10.00      CACC1           TypeCACC@CACC1  1to2_1       49.56      5.00       0.00       Undefined           -1.00      -1.00      
84         10.00      CACC2           TypeCACC@CACC2  1to2_1       37.88      7.65       -2.34      GapControl          6.68       0.87       

85         10.10      CACC3           TypeCACC        1to2_0       15.85      9.40       3.00       SpeedControl        -1.00      -1.00      
85         10.10      CACC4           TypeCACC        1to2_0       1.32       2.20       2.00       SpeedControl        9.53       4.33       
85         10.10      CACC1           TypeCACC@CACC1  1to2_1       50.06      5.00       0.00       Undefined           -1.00      -1.00      
85         10.10      CACC2           TypeCACC@CACC2  1to2_1       38.62      7.46       -1.92      GapControl          6.44       0.86       

86         10.20      CACC3           TypeCACC        1to2_0       16.82      9.70       3.00       SpeedControl        -1.00      -1.00      
86         10.20      CACC4           TypeCACC        1to2_0       1.56       2.40       2.00       SpeedControl        10.26      4.28       
86         10.20      CACC1           TypeCACC@CACC1  1to2_1       50.56      5.00       0.00       Undefined           -1.00      -1.00      
86         10.20      CACC2           TypeCACC@CACC2  1to2_1       39.35      7.29       -1.71      GapControl          6.21       0.85       

87         10.30      CACC3           TypeCACC        1to2_0       17.82      10.00      3.00       SpeedControl        -1.00      -1.00      
87         10.30      CACC4           TypeCACC        1to2_0       1.82       2.60       2.00       SpeedControl        11.00      4.23       
87         10.30      CACC1           TypeCACC@CACC1  1to2_1       51.06      5.00       0.00       Undefined           -1.00      -1.00      
87         10.30      CACC2           TypeCACC@CACC2  1to2_1       40.06      7.12       -1.64      GapControl          6.00       0.84       

88         10.40      CACC3           TypeCACC        1to2_0       18.85      10.30      3.00       SpeedControl        -1.00      -1.00      
88         10.40      CACC4           TypeCACC        1to2_0       2.10       2.80       2.00       SpeedControl        11.75      4.20       
88         10.40      CACC1           TypeCACC@CACC1  1to2_1       51.56      5.00       0.00       Undefined           -1.00      -1.00      
88         10.40      CACC2           TypeCACC@CACC2  1to2_1       40.76      6.95       -1.67      GapControl          5.80       0.83       

89         10.50      CACC4           TypeCACC        1to2_0       2.40       3.00       2.00       SpeedControl        -1.00      -1.00      
89         10.50      CACC1           TypeCACC@CACC1  1to2_1       52.06      5.00       0.00       Undefined           -1.00      -1.00      
89         10.50      CACC2           TypeCACC@CACC2  1to2_1       41.44      6.78       -1.76      GapControl          5.62       0.83       
89         10.50      CACC3           TypeCACC@CACC3  1to2_1       19.83      9.80       -5.00      SpeedControl        16.61      1.69       

90         10.60      CACC4           TypeCACC        1to2_0       2.73       3.30       3.00       SpeedControl        -1.00      -1.00      
90         10.60      CACC1           TypeCACC@CACC1  1to2_1       52.56      5.00       0.00       Undefined           -1.00      -1.00      
90         10.60      CACC2           TypeCACC@CACC2  1to2_1       42.10      6.59       -1.87      GapControl          5.46       0.83       
90         10.60      CACC3           TypeCACC@CACC3  1to2_1       20.76      9.30       -5.00      GapControl          16.34      1.76       

91         10.70      CACC4           TypeCACC        1to2_0       3.09       3.60       3.00       SpeedControl        -1.00      -1.00      
91         10.70      CACC1           TypeCACC@CACC1  1to2_1       53.06      5.00       0.00       Undefined           -1.00      -1.00      
91         10.70      CACC2           TypeCACC@CACC2  1to2_1       42.73      6.40       -1.96      GapControl          5.33       0.83       
91         10.70      CACC3           TypeCACC@CACC3  1to2_1       21.64      8.80       -5.00      GapControl          16.09      1.83       

92         10.80      CACC4           TypeCACC        1to2_0       3.48       3.90       3.00       SpeedControl        -1.00      -1.00      
92         10.80      CACC1           TypeCACC@CACC1  1to2_1       53.56      5.00       0.00       Undefined           -1.00      -1.00      
92         10.80      CACC2           TypeCACC@CACC2  1to2_1       43.35      6.19       -2.01      GapControl          5.21       0.84       
92         10.80      CACC3           TypeCACC@CACC3  1to2_1       22.47      8.30       -5.00      GapControl          15.88      1.91       

93         10.90      CACC4           TypeCACC        1to2_0       3.90       4.20       3.00       SpeedControl        -1.00      -1.00      
93         10.90      CACC1           TypeCACC@CACC1  1to2_1       54.06      5.00       0.00       Undefined           -1.00      -1.00      
93         10.90      CACC2           TypeCACC@CACC2  1to2_1       43.95      5.99       -2.01      GapControl          5.11       0.85       
93         10.90      CACC3           TypeCACC@CACC3  1to2_1       23.25      7.80       -5.00      GapControl          15.70      2.01       

94         11.00      CACC4           TypeCACC        1to2_0       4.35       4.50       3.00       SpeedControl        -1.00      -1.00      
94         11.00      CACC1           TypeCACC@CACC1  1to2_1       54.56      5.00       0.00       Undefined           -1.00      -1.00      
94         11.00      CACC2           TypeCACC@CACC2  1to2_1       44.53      5.80       -1.95      GapControl          5.03       0.87       
94         11.00      CACC3           TypeCACC@CACC3  1to2_1       23.98      7.30       -5.00      GapControl          15.55      2.13       

95         11.10      CACC4           TypeCACC        1to2_0       4.83       4.80       3.00       SpeedControl        -1.00      -1.00      
95         11.10      CACC1           TypeCACC@CACC1  1to2_1       55.06      5.00       0.00       Undefined           -1.00      -1.00      
95         11.10      CACC2           TypeCACC@CACC2  1to2_1       45.10      5.62       -1.82      GapControl          4.96       0.88       
95         11.10      CACC3           TypeCACC@CACC3  1to2_1       24.66      6.80       -5.00      GapControl          15.44      2.27       

96         11.20      CACC4           TypeCACC        1to2_0       5.34       5.10       3.00       SpeedControl        -1.00      -1.00      
96         11.20      CACC1           TypeCACC@CACC1  1to2_1       55.56      5.00       0.00       Undefined           -1.00      -1.00      
96         11.20      CACC2           TypeCACC@CACC2  1to2_1       45.64      5.45       -1.65      GapControl          4.92       0.90       
96         11.20      CACC3           TypeCACC@CACC3  1to2_1       25.29      6.30       -5.00      GapControl          15.35      2.44       

97         11.30      CACC4           TypeCACC        1to2_0       5.88       5.40       3.00       SpeedControl        -1.00      -1.00      
97         11.30      CACC1           TypeCACC@CACC1  1to2_1       56.06      5.00       0.00       Undefined           -1.00      -1.00      
97         11.30      CACC2           TypeCACC@CACC2  1to2_1       46.17      5.31       -1.43      GapControl          4.89       0.92       
97         11.30      CACC3           TypeCACC@CACC3  1to2_1       25.87      5.80       -5.00      GapControl          15.30      2.64       

98         11.40      CACC4           TypeCACC        1to2_0       6.45       5.70       3.00       SpeedControl        -1.00      -1.00      
98         11.40      CACC1           TypeCACC@CACC1  1to2_1       56.56      5.00       0.00       Undefined           -1.00      -1.00      
98         11.40      CACC2           TypeCACC@CACC2  1to2_1       46.69      5.19       -1.18      GapControl          4.87       0.94       
98         11.40      CACC3           TypeCACC@CACC3  1to2_1       26.40      5.30       -5.00      GapControl          15.29      2.88       

99         11.50      CACC4           TypeCACC        1to2_0       7.05       6.00       3.00       SpeedControl        -1.00      -1.00      
99         11.50      CACC5           TypeCACC        1to2_0       0.00       0.00       0.00       GapControl          2.05       -1.00      
99         11.50      CACC1           TypeCACC@CACC1  1to2_1       57.06      5.00       0.00       Undefined           -1.00      -1.00      
