timeStep    sender         receiver         type                     sendingPlnID        recPlnID            
13.93      CACC4           -                 state_waitForMergeReply        -                  -                   

13.93      CACC3           CACC4             MERGE_REJECT                   CACC3              CACC4               

13.93      CACC4           -                 state_platoonLeader            -                  -                   

14.03      CACC4           -                 state_sendMergeReq             -                  -                   
14.03      CACC4           CACC3             MERGE_REQ                      CACC4              CACC3               
14.03      CACC4           -                 state_waitForMergeReply        -                  -                   

14.03      CACC3           CACC4             MERGE_REJECT                   CACC3              CACC4               

14.03      CACC4           -                 state_platoonLeader            -                  -                   

14.13      CACC4           -                 state_sendMergeReq             -                  -                   
14.13      CACC4           CACC3             MERGE_REQ                      CACC4              CACC3               
14.13      CACC4           -                 state_waitForMergeReply        -                  -                   

14.13      CACC3           CACC4             MERGE_REJECT                   CACC3              CACC4               

14.13      CACC4           -                 state_platoonLeader            -                  -                   

14.23      CACC4           -                 state_sendMergeReq             -                  -                   
14.23      CACC4           CACC3             MERGE_REQ                      CACC4              CACC3               
14.23      CACC4           -                 state_waitForMergeReply        -                  -                   

14.23      CACC3           CACC4             MERGE_REJECT                   CACC3              CACC4               

14.23      CACC4           -                 state_platoonLeader            -                  -                   

14.33      CACC4           -                 state_sendMergeReq             -                  -                   
14.33      CACC4           CACC3             MERGE_REQ                      CACC4              CACC3               
14.33      CACC4           -                 state_waitForMergeReply        -                  -                   

14.33      CACC3           CACC4             MERGE_REJECT                   CACC3              CACC4               

14.33      CACC4           -                 state_platoonLeader            -                  -                   

14.43      CACC4           -                 state_sendMergeReq             -                  -                   
14.43      CACC4           CACC3             MERGE_REQ                      CACC4              CACC3               
14.43      CACC4           -                 state_waitForMergeReply        -                  -                   

14.43      CACC3           CACC4             MERGE_REJECT                   CACC3              CACC4               

14.43      CACC4           -                 state_platoonLeader            -                  -                   

14.53      CACC4           -                 state_sendMergeReq             -                  -                   
14.53      CACC4           CACC3             MERGE_REQ                      CACC4              CACC3               
14.53      CACC4           -                 state_waitForMergeReply        -                  -                   

14.53      CACC3           CACC4             MERGE_REJECT                   CACC3              CACC4               

14.53      CACC4           -                 state_platoonLeader            -                  -                   

14.63      CACC4           -                 state_sendMergeReq             -                  -                   
14.63      CACC4           CACC3             MERGE_REQ                      CACC4              CACC3               
14.63      CACC4           -                 state_waitForMergeReply        -                  -                   

14.63      CACC3           CACC4             MERGE_REJECT                   CACC3              CACC4               

14.63      CACC4           -                 state_platoonLeader            -                  -                   

14.73      CACC4           -                 state_sendMergeReq             -                  -                   
14.73      CACC4           CACC3             MERGE_REQ                      CACC4              CACC3               
14.73      CACC4           -                 state_waitForMergeReply        -                  -                   

14.73      CACC3           CACC4             MERGE_REJECT                   CACC3              CACC4               

14.73      CACC4           -                 state_platoonLeader            -                  -                   

14.83      CACC4           -                 state_sendMergeReq             -                  -                   
14.83      CACC4           CACC3             MERGE_REQ                      CACC4              CACC3               
14.83      CACC4           -                 state_waitForMergeReply        -                  -                   

14.83      CACC3           CACC4             MERGE_REJECT                   CACC3              CACC4               

14.83      CACC4           -                 state_platoonLeader            -                  -                   

14.93      CACC4           -                 state_sendMergeReq             -                  -                   
14.93      CACC4           CACC3             MERGE_REQ                      CACC4              CACC3               
14.93      CACC4           -                 state_waitForMergeReply        -                  -                   

14.93      CACC3           CACC4             MERGE_REJECT                   CACC3              CACC4               

14.93      CACC4           -                 state_platoonLeader            -                  -                   

15.03      CACC4           -                 state_sendMergeReq             -                  -                   
15.03      CACC4           CACC3             MERGE_REQ                      CACC4              CACC3               
15.03      CACC4           -                 state_waitForMergeReply        -                  -                   

15.03      CACC3           CACC4             MERGE_REJECT                   CACC3              CACC4               

15.03      CACC4           -                 state_platoonLeader            -                  -                   

15.13      CACC4           -                 state_sendMergeReq             -                  -                   
15.13      CACC4           CACC3             MERGE_REQ                      CACC4              CACC3               
15.13      CACC4           -                 state_waitForMergeReply        -                  -                   

15.13      CACC3           CACC4             MERGE_REJECT                   CACC3              CACC4               

15.13      CACC4           -                 state_platoonLeader            -                  -                   

15.23      CACC4           -                 state_sendMergeReq             -                  -                   
15.23      CACC4           CACC3             MERGE_REQ                      CACC4              CACC3               
15.23      CACC4           -                 state_waitForMergeReply        -                  -                   

15.23      CACC3           CACC4             MERGE_REJECT                   CACC3              CACC4               

15.23      CACC4           -                 state_platoonLeader            -                  -                   

15.33      CACC4           -                 state_sendMergeReq             -                  -                   
15.33      CACC4           CACC3             MERGE_REQ                      CACC4              CACC3               
15.33      CACC4           -                 state_waitForMergeReply        -                  -                   

15.33      CACC3           CACC4             MERGE_REJECT                   CACC3              CACC4               

15.33      CACC4           -                 state_platoonLeader            -                  -                   

15.43      CACC4           -                 state_sendMergeReq             -                  -                   
15.43      CACC4           CACC3             MERGE_REQ                      CACC4              CACC3               
15.43      CACC4           -                 state_waitForMergeReply        -                  -                   

15.43      CACC3           CACC4             MERGE_REJECT                   CACC3              CACC4               

15.43      CACC4           -                 state_platoonLeader            -                  -                   

15.53      CACC4           -                 state_sendMergeReq             -                  -                   
15.53      CACC4           CACC3             MERGE_REQ                      CACC4              CACC3               
15.53      CACC4           -                 state_waitForMergeReply        -                  -                   

15.53      CACC3           CACC4             MERGE_REJECT                   CACC3              CACC4               

15.53      CACC4           -                 state_platoonLeader            -                  -                   

15.60      CACC5           -                 state_waitForLaneChange        -                  -                   

15.63      CACC4           -                 state_sendMergeReq             -                  -                   
15.63      CACC4           CACC3             MERGE_REQ                      CACC4              CACC3               
15.63      CACC4           -                 state_waitForMergeReply        -                  -                   

15.63      CACC3           CACC4             MERGE_REJECT                   CACC3              CACC4               

15.63      CACC4           -                 state_platoonLeader            -                  -                   

15.70      CACC5           -                 state_platoonLeader            -                  -                   

15.72      CACC5           -                 state_sendMergeReq             -                  -                   
15.72      CACC5           CACC4             MERGE_REQ                      CACC5              CACC4               
15.72      CACC5           -                 state_waitForMergeReply        -                  -                   

15.72      CACC4           -                 state_sendMergeAccept          -                  -                   
15.72      CACC4           CACC5             MERGE_ACCEPT                   CACC4              CACC5               
15.72      CACC4           -                 state_waitForMergeDone         -                  -                   

15.72      CACC5           -                 state_mergeAccepted            -                  -                   
15.72      CACC5           -                 state_waitForCatchup           -                  -                   

17.01      CACC1           -                 state_sendMergeAccept          -                  -                   
17.01      CACC1           CACC3             MERGE_ACCEPT                   CACC1              CACC3               
17.01      CACC1           -                 state_waitForMergeDone         -                  -                   

18.10      CACC6           -                 state_waitForLaneChange        -                  -                   

18.11      CACC3           -                 state_sendMergeDone            -                  -                   
18.11      CACC3           CACC1             MERGE_DONE                     CACC1              CACC1               
18.11      CACC3           -                 state_platoonFollower          -                  -                   

18.11      CACC1           -                 state_mergeDone                -                  -                   
18.11      CACC1           -                 state_platoonLeader            -                  -                   

18.20      CACC6           -                 state_platoonLeader            -                  -                   

18.24      CACC6           -                 state_sendMergeReq             -                  -                   
18.24      CACC6           CACC5             MERGE_REQ                      CACC6              CACC5               
18.24      CACC6           -                 state_waitForMergeReply        -                  -                   

18.25      CACC5           CACC6             MERGE_REJECT                   CACC5              CACC6               

18.25      CACC6           -                 state_platoonLeader            -                  -                   

18.34      CACC6           -                 state_sendMergeReq             -                  -                   
18.34      CACC6           CACC5             MERGE_REQ                      CACC6              CACC5               
18.34      CACC6           -                 state_waitForMergeReply        -                  -                   

18.35      CACC5           CACC6             MERGE_REJECT                   CACC5              CACC6               

18.35      CACC6           -                 state_platoonLeader            -                  -                   

18.44      CACC6           -                 state_sendMergeReq             -                  -                   
18.44      CACC6           CACC5             MERGE_REQ                      CACC6              CACC5               
18.44      CACC6           -                 state_waitForMergeReply        -                  -                   

18.45      CACC5           CACC6             MERGE_REJECT                   CACC5              CACC6               

18.45      CACC6           -                 state_platoonLeader            -                  -                   

18.54      CACC6           -                 state_sendMergeReq             -                  -                   
18.54      CACC6           CACC5             MERGE_REQ                      CACC6              CACC5               
18.54      CACC6           -                 state_waitForMergeReply        -                  -                   

18.55      CACC5           CACC6             MERGE_REJECT                   CACC5              CACC6               

18.55      CACC6           -                 state_platoonLeader            -                  -                   

18.64      CACC6           -                 state_sendMergeReq             -                  -                   
18.64      CACC6           CACC5             MERGE_REQ                      CACC6              CACC5               
18.64      CACC6           -                 state_waitForMergeReply        -                  -                   

18.65      CACC5           CACC6             MERGE_REJECT                   CACC5              CACC6               

18.65      CACC6           -                 state_platoonLeader            -                  -                   

18.72      CACC5           -                 state_sendMergeDone            -                  -                   
18.72      CACC5           CACC4             MERGE_DONE                     CACC4              CACC4               
18.72      CACC5           -                 state_platoonFollower          -                  -                   

18.72      CACC4           -                 state_mergeDone                -                  -                   
18.72      CACC4           -                 state_platoonLeader            -                  -                   

18.73      CACC4           -                 state_sendMergeReq             -                  -                   
18.73      CACC4           CACC1             MERGE_REQ                      CACC4              CACC1               
18.73      CACC4           -                 state_waitForMergeReply        -                  -                   

18.73      CACC1           -                 state_sendMergeAccept          -                  -                   
18.73      CACC1           CACC4             MERGE_ACCEPT                   CACC1              CACC4               
18.73      CACC1           -                 state_waitForMergeDone         -                  -                   

18.73      CACC4           -                 state_mergeAccepted            -                  -                   
18.73      CACC4           -                 state_waitForCatchup           -                  -                   

18.74      CACC6           -                 state_sendMergeReq             -                  -                   
18.74      CACC6           CACC4             MERGE_REQ                      CACC6              CACC4               
18.74      CACC6           -                 state_waitForMergeReply        -                  -                   

18.75      CACC4           CACC6             MERGE_REJECT                   CACC4              CACC6               

18.75      CACC6           -                 state_platoonLeader            -                  -                   

18.84      CACC6           -                 state_sendMergeReq             -                  -                   
18.84      CACC6           CACC4             MERGE_REQ                      CACC6              CACC4               
18.84      CACC6           -                 state_waitForMergeReply        -                  -                   

18.85      CACC4           CACC6             MERGE_REJECT                   CACC4              CACC6               

18.85      CACC6           -                 state_platoonLeader            -                  -                   

18.94      CACC6           -                 state_sendMergeReq             -                  -                   
18.94      CACC6           CACC4             MERGE_REQ                      CACC6              CACC4               
18.94      CACC6           -                 state_waitForMergeReply        -                  -                   

18.95      CACC4           CACC6             MERGE_REJECT                   CACC4              CACC6               

18.95      CACC6           -                 state_platoonLeader            -                  -                   

19.04      CACC6           -                 state_sendMergeReq             -                  -                   
